Date,Class,Topic,Class
9/2/2025,1,Supreme: Intro to Marketing,MKT
9/2/2025,1,On (intro session),STRAT
9/3/2025,2,Cialis: Brand Positioning,MKT
9/3/2025,2,Yanhai Aluminum: Costs,STRAT
9/3/2025,1,KC Zephyrs Baseball Club,FRC
9/4/2025,2,Mira’s Microbrewery (Part 1),FRC
9/4/2025,1,Erik Peterson at Biometra (Day 1),LEAD
9/5/2025,1,Benihana,TOM
9/5/2025,3,Mira’s Microbrewery (Part 2),FRC
9/5/2025,2,Erik Peterson at Biometra (Day 2),LEAD
9/8/2025,3,HubSpot: Selecting a Target Market,MKT
9/8/2025,3,Cola Wars: Coke vs Pepsi,STRAT
9/9/2025,4,Travelogo: Market Segmentation,MKT
9/9/2025,4,AI Wars in 2025,STRAT
9/10/2025,2,Donner Company,TOM
9/10/2025,3,Jackie Hu: Launching into Leadership,LEAD
9/11/2025,3,Fabritek,TOM
9/11/2025,4,Accounting for iPhone at Apple,FRC
9/11/2025,4,Managing Global Team: Sun Microsystems,LEAD
9/12/2025,4,Process Analytics Simulation,TOM
9/12/2025,5,Accounting for Revenues,FRC
9/12/2025,5,C&S Wholesale Grocers,LEAD
9/16/2025,5,Chase Sapphire: Designing New Products,MKT
9/16/2025,5,Walmart USA: Growth,STRAT
9/17/2025,6,Predicting Diffusion of New Products,MKT
9/17/2025,6,Royal Opera House,STRAT
9/18/2025,5,National Cranberry,TOM
9/19/2025,6,Hospital for Special Surgery,TOM
9/19/2025,7,Capitalizing Dev Costs (Fiat/Volkswagen),FRC
9/22/2025,7,Hurtigruten: Sailing into Warm Water,STRAT
9/23/2025,7,Gilead: Pricing a New Product,MKT
9/23/2025,8,Hilti: Fleet Management,STRAT
9/25/2025,7,Toyota,TOM
9/25/2025,6,Everest Simulation,LEAD
9/26/2025,8,Georgia State,TOM
9/26/2025,9,Twitter: Stock-Based Comp,FRC
9/26/2025,7,Everest Debrief,LEAD
9/29/2025,8,OOFOS: Demand Generation,MKT
9/29/2025,9,Ryanair: Dogfight over Europe,STRAT
9/30/2025,9,HBS Online: Attribution & ROI,MKT
9/30/2025,10,Fiber Optics Industry Growth,STRAT
10/1/2025,10,Costco Live Case,FRC
10/1/2025,8,Bayer: Radical Transformation,LEAD
10/3/2025,9,Tessei,TOM
10/3/2025,11,Signet Jewelers,FRC
10/6/2025,10,Glossier: DTC & Influencer Marketing,MKT
10/6/2025,11,Keroche: Alcoholic Drinks in Kenya,STRAT
10/7/2025,11,Artea: Targeting Strategies,MKT
10/7/2025,12,LEGO: The Crisis,STRAT
10/8/2025,10,Shad Process Flow (Day 1),TOM
10/9/2025,11,Shad Process Flow (Day 2),TOM
10/10/2025,13,Boston Children’s Hospital,FRC
10/10/2025,9,Rob Parson,LEAD
10/14/2025,12,Aqualisa Quartz: Go-to-Market,MKT
10/14/2025,13,KITEA: Democratizing Furniture,STRAT
10/15/2025,12,Shad Process Flow Debrief,TOM
10/16/2025,10,Heidi Roizen,LEAD
10/17/2025,14,Springfield Hospital,FRC
10/17/2025,11,Rosalind Fox at John Deere,LEAD
10/20/2025,13,Adeo Health: Practice Midterm,MKT
10/20/2025,14,P.F. Chang’s,STRAT
10/21/2025,14,HUL Product Shakti: Reaching New Markets,MKT
10/21/2025,15,Disney: Mouse House to Kingdom,STRAT
10/22/2025,13,IDEO,TOM
10/23/2025,14,Insilico,TOM
10/23/2025,15,Coinbase,FRC
10/23/2025,12,12 Angry Men (Day 1),LEAD
10/24/2025,16,Handelsbanken,FRC
10/24/2025,13,12 Angry Men (Day 2),LEAD
10/27/2025,15,Starbucks: Growth via New Customers,MKT
10/27/2025,16,Disney & Pixar: To Acquire?,STRAT
10/28/2025,16,Adobe: Journey Optimization,MKT
10/29/2025,14,Feedback Workshop,LEAD
10/30/2025,15,Foghorn Decision,TOM
10/30/2025,17,Nordstrom,FRC
10/31/2025,16,Domino’s,TOM
10/31/2025,18,Wells Fargo Sales Misconduct,FRC
10/31/2025,15,Growing Pains at Coohom,LEAD
11/3/2025,17,Longchamp: Brand Extensions,MKT
11/3/2025,17,Thinx: Breaking Barriers in FemCare,STRAT
11/4/2025,18,Tesla 2024: EV Lead,STRAT
11/5/2025,18,Drinkworks: Diversification & Pricing,MKT
11/5/2025,19,Americana,FRC
11/5/2025,16,Vodafone,LEAD
11/6/2025,17,Fuyao Glass,TOM
11/6/2025,17,Dena Almansoori,LEAD
11/7/2025,20,BMW: Decarbonization,FRC
11/7/2025,18,Dishoom,LEAD
11/10/2025,19,Bobobox: Market Moves,MKT
11/12/2025,20,Instructor’s Choice,STRAT
11/12/2025,21,Alibaba IPO,FRC
11/13/2025,19,Ron Johnson,LEAD
11/14/2025,19,Sian Flowers,TOM
11/14/2025,22,SEC vs AT&T,FRC
11/14/2025,20,Rakuten,LEAD
11/17/2025,20,Fortis Industries: Commoditization,MKT
11/18/2025,21,Hometown Foods: Pricing Pressures,MKT
11/18/2025,21,Conclusion,STRAT
11/19/2025,20,Market by Met Council,TOM
11/19/2025,21,Cynthia Carroll,LEAD
11/20/2025,21,Nike,TOM
11/20/2025,23,Molex,FRC
11/20/2025,22,Lisa Su at AMD,LEAD
11/21/2025,24,Ginkgo Bioworks vs Scorpion,FRC
11/21/2025,23,TBD,LEAD
11/24/2025,22,Othellonia: Maximizing Customer Equity,MKT
11/25/2025,23,Meta & Future of AI in Marketing,MKT
12/1/2025,24,Course Wrap,MKT
12/3/2025,22,Final Class,TOM
12/4/2025,25,Silicon Valley Bank,FRC
12/4/2025,24,Deborah Lovich,LEAD
12/5/2025,26,A Letter from Prison,FRC
12/5/2025,25,Kwame Owusu-Kesse,LEAD
12/8/2025,26,Alumni Profiles,LEAD
12/9/2025,27,Final Class,LEAD